mean_train_accuracy,mean_train_precision,mean_train_recall,mean_train_auc,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_auc,std_train_accuracy,std_train_precision,std_train_recall,std_train_auc,std_test_accuracy,std_test_precision,std_test_recall,std_test_auc,CV folds,random seed,test size,classifier name,dim reducer,dim reduced to,classifier params,raw,stats features,bands features,channels
1.0,1.0,1.0,1.0,0.75,0.875,0.625,0.625,0.0,0.0,0.0,0.0,0.1767766952966369,0.21650635094610965,0.21650635094610965,0.21650635094610965,5.0,24.0,0.2,LinearSVC,None,-1,None,no,no,no,all
1.0,1.0,1.0,1.0,0.3125,0.1875,0.25,0.25,0.0,0.0,0.0,0.0,0.2072890493972125,0.2420614591379636,0.3535533905932738,0.3535533905932738,5.0,24.0,0.2,SVC,None,-1,None,no,no,no,all
1.0,1.0,1.0,1.0,0.4375,0.29166666666666663,0.375,0.625,0.0,0.0,0.0,0.0,0.34798527267687634,0.3886407938787006,0.4841229182759271,0.414578098794425,5.0,24.0,0.2,RandomForestClassifier,None,-1,None,no,no,no,all
1.0,1.0,1.0,1.0,0.5625,0.5625,0.625,0.5,0.0,0.0,0.0,0.0,0.10825317547305482,0.2997394702070449,0.33071891388307384,0.33071891388307384,5.0,24.0,0.2,AdaBoostClassifier,None,-1,None,no,no,no,all
1.0,1.0,1.0,1.0,0.5625,0.5,0.5,0.625,0.0,0.0,0.0,0.0,0.3903123748998999,0.4330127018922193,0.4330127018922193,0.414578098794425,5.0,24.0,0.2,ExtraTreesClassifier,None,-1,None,no,no,no,all
1.0,1.0,1.0,1.0,0.5,0.4583333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.21650635094610965,0.26020824993326663,0.25,0.39528470752104733,5.0,24.0,0.2,GradientBoostingClassifier,None,-1,None,no,no,no,all
1.0,1.0,1.0,1.0,0.5625,0.4791666666666666,0.5,0.65625,0.0,0.0,0.0,0.0,0.2072890493972125,0.4034357652299392,0.4330127018922193,0.3890593624371479,5.0,24.0,0.2,XGBClassifier,None,-1,None,no,no,no,all
0.7,0.7523809523809525,0.5857142857142857,0.7641156462585035,0.4375,0.3958333333333333,0.625,0.4375,0.10251928638862373,0.16399214626402442,0.2355097717881569,0.1382597625885381,0.10825317547305482,0.16535945694153692,0.33071891388307384,0.10825317547305482,5.0,24.0,0.2,KNeighborsClassifier,None,-1,None,no,no,no,all
0.8761904761904761,0.8630952380952381,0.9047619047619048,0.972562358276644,0.375,0.3125,0.5,0.1875,0.056644653587477715,0.08074202360863414,0.07824607964359515,0.0346011239187528,0.2795084971874737,0.26922599965250177,0.4330127018922193,0.3247595264191645,5.0,24.0,0.2,GaussianNB,None,-1,None,no,no,no,all
1.0,1.0,1.0,1.0,0.5,0.4375,0.625,0.5625,0.0,0.0,0.0,7.021666937153402e-17,0.1767766952966369,0.2030582155168534,0.33071891388307384,0.44633927678392815,5.0,24.0,0.2,Stacking,None,-1,None,no,no,no,all
1.0,1.0,1.0,1.0,0.5,0.3125,0.375,0.6875,0.0,0.0,0.0,0.0,0.21650635094610965,0.34798527267687634,0.414578098794425,0.2072890493972125,5.0,24.0,0.2,LinearSVC,None,-1,None,no,no,no,Cz
1.0,1.0,1.0,1.0,0.5625,0.4166666666666666,0.75,0.75,0.0,0.0,0.0,0.0,0.10825317547305482,0.25,0.4330127018922193,0.25,5.0,24.0,0.2,SVC,None,-1,None,no,no,no,Cz
1.0,1.0,1.0,1.0,0.75,0.7916666666666666,0.75,0.6875,0.0,0.0,0.0,0.0,0.1767766952966369,0.21650635094610965,0.25,0.2072890493972125,5.0,24.0,0.2,RandomForestClassifier,None,-1,None,no,no,no,Cz
1.0,1.0,1.0,1.0,0.5,0.1875,0.25,0.5625,0.0,0.0,0.0,7.021666937153402e-17,0.21650635094610965,0.34798527267687634,0.4330127018922193,0.2576941016011038,5.0,24.0,0.2,AdaBoostClassifier,None,-1,None,no,no,no,Cz
1.0,1.0,1.0,1.0,0.6875,0.5416666666666666,0.625,0.6875,0.0,0.0,0.0,0.0,0.2072890493972125,0.3608439182435161,0.414578098794425,0.2072890493972125,5.0,24.0,0.2,ExtraTreesClassifier,None,-1,None,no,no,no,Cz
1.0,1.0,1.0,1.0,0.6875,0.7291666666666666,0.75,0.6875,0.0,0.0,0.0,0.0,0.16535945694153692,0.2194927865177654,0.25,0.2072890493972125,5.0,24.0,0.2,GradientBoostingClassifier,None,-1,None,no,no,no,Cz
0.938095238095238,0.9666666666666668,0.9095238095238096,0.9944444444444444,0.75,0.7916666666666666,0.75,0.78125,0.06135285107964344,0.06666666666666665,0.07438333024673005,0.011111111111111072,0.1767766952966369,0.21650635094610965,0.25,0.2557922741210141,5.0,24.0,0.2,XGBClassifier,None,-1,None,no,no,no,Cz
0.7523809523809524,0.8166666666666668,0.6857142857142857,0.8057823129251702,0.5625,0.375,0.375,0.625,0.08192690730516787,0.11055415967851334,0.20503857277724752,0.06602432265902765,0.2724311839712921,0.414578098794425,0.414578098794425,0.21650635094610965,5.0,24.0,0.2,KNeighborsClassifier,None,-1,None,no,no,no,Cz
0.8976190476190476,0.9,0.9095238095238096,0.9629251700680272,0.625,0.5416666666666666,0.625,0.5625,0.0963035638864604,0.1224744871391589,0.07438333024673005,0.03312443217398598,0.2795084971874737,0.3608439182435161,0.414578098794425,0.2724311839712921,5.0,24.0,0.2,GaussianNB,None,-1,None,no,no,no,Cz
1.0,1.0,1.0,1.0,0.625,0.6041666666666666,0.75,0.6875,0.0,0.0,0.0,0.0,0.1767766952966369,0.16535945694153692,0.25,0.2576941016011038,5.0,24.0,0.2,Stacking,None,-1,None,no,no,no,Cz
1.0,1.0,1.0,1.0,0.625,0.4166666666666666,0.5,0.875,0.0,0.0,0.0,0.0,0.1767766952966369,0.3535533905932737,0.4330127018922193,0.125,5.0,24.0,0.2,LinearSVC,None,-1,None,no,no,no,FCz
1.0,1.0,1.0,1.0,0.625,0.5,0.5,0.6875,0.0,0.0,0.0,0.0,0.21650635094610965,0.3535533905932738,0.3535533905932738,0.2072890493972125,5.0,24.0,0.2,SVC,None,-1,None,no,no,no,FCz
1.0,1.0,1.0,1.0,0.75,0.5833333333333333,0.75,0.875,0.0,0.0,0.0,0.0,0.1767766952966369,0.3632415786283894,0.4330127018922193,0.125,5.0,24.0,0.2,RandomForestClassifier,None,-1,None,no,no,no,FCz
1.0,1.0,1.0,1.0,0.625,0.4375,0.375,0.8125,0.0,0.0,0.0,0.0,0.1767766952966369,0.4635124054434789,0.414578098794425,0.2420614591379636,5.0,24.0,0.2,AdaBoostClassifier,None,-1,None,no,no,no,FCz
1.0,1.0,1.0,1.0,0.75,0.7916666666666666,0.75,0.8125,0.0,0.0,0.0,0.0,0.1767766952966369,0.21650635094610965,0.25,0.2072890493972125,5.0,24.0,0.2,ExtraTreesClassifier,None,-1,None,no,no,no,FCz
1.0,1.0,1.0,1.0,0.75,0.6041666666666666,0.75,0.8125,0.0,0.0,0.0,0.0,0.21650635094610965,0.3903123748998999,0.4330127018922193,0.2420614591379636,5.0,24.0,0.2,GradientBoostingClassifier,None,-1,None,no,no,no,FCz
1.0,1.0,1.0,1.0,0.8125,0.6875,0.75,0.8125,0.0,0.0,0.0,0.0,0.2420614591379636,0.4284784125250653,0.4330127018922193,0.2420614591379636,5.0,24.0,0.2,XGBClassifier,None,-1,None,no,no,no,FCz
0.8285714285714286,0.8380952380952381,0.8142857142857143,0.8982426303854876,0.75,0.75,0.625,0.78125,0.023328473740792173,0.009523809523809488,0.05084322977157767,0.027177204212973486,0.21650635094610965,0.3535533905932738,0.33071891388307384,0.22316963839196408,5.0,24.0,0.2,KNeighborsClassifier,None,-1,None,no,no,no,FCz
0.9571428571428572,1.0,0.9142857142857144,1.0,0.5625,0.4791666666666666,0.5,0.75,0.05714285714285716,0.0,0.11428571428571427,0.0,0.2072890493972125,0.4034357652299392,0.4330127018922193,0.25,5.0,24.0,0.2,GaussianNB,None,-1,None,no,no,no,FCz
1.0,1.0,1.0,1.0,0.6875,0.5208333333333333,0.75,0.90625,0.0,0.0,0.0,0.0,0.16535945694153692,0.3274215342812857,0.4330127018922193,0.10364452469860624,5.0,24.0,0.2,Stacking,None,-1,None,no,no,no,FCz
0.911904761904762,0.866984126984127,1.0,1.0,0.4375,0.3958333333333333,0.5,0.5,0.0830266465436319,0.11943598029389182,0.0,0.0,0.2420614591379636,0.2997394702070449,0.3535533905932738,0.30618621784789724,5.0,24.0,0.2,LinearSVC,None,-1,None,no,no,no,Fz
1.0,1.0,1.0,1.0,0.4375,0.25,0.25,0.4375,0.0,0.0,0.0,0.0,0.10825317547305482,0.25,0.25,0.3247595264191645,5.0,24.0,0.2,SVC,None,-1,None,no,no,no,Fz
1.0,1.0,1.0,1.0,0.5,0.4375,0.625,0.25,0.0,0.0,0.0,0.0,0.1767766952966369,0.2030582155168534,0.33071891388307384,0.25,5.0,24.0,0.2,RandomForestClassifier,None,-1,None,no,no,no,Fz
1.0,1.0,1.0,1.0,0.3125,0.3125,0.5,0.125,0.0,0.0,0.0,4.965068306494546e-17,0.2420614591379636,0.2420614591379636,0.4330127018922193,0.21650635094610965,5.0,24.0,0.2,AdaBoostClassifier,None,-1,None,no,no,no,Fz
1.0,1.0,1.0,1.0,0.4375,0.3958333333333333,0.625,0.4375,0.0,0.0,0.0,0.0,0.10825317547305482,0.16535945694153692,0.33071891388307384,0.2724311839712921,5.0,24.0,0.2,ExtraTreesClassifier,None,-1,None,no,no,no,Fz
1.0,1.0,1.0,1.0,0.4375,0.375,0.5,0.25,0.0,0.0,0.0,4.965068306494546e-17,0.16535945694153692,0.21650635094610965,0.3535533905932738,0.1767766952966369,5.0,24.0,0.2,GradientBoostingClassifier,None,-1,None,no,no,no,Fz
0.9666666666666668,0.9666666666666668,0.9666666666666668,0.9944444444444444,0.375,0.2708333333333333,0.375,0.375,0.06666666666666665,0.06666666666666665,0.06666666666666665,0.011111111111111072,0.125,0.21949278651776535,0.33071891388307384,0.21650635094610965,5.0,24.0,0.2,XGBClassifier,None,-1,None,no,no,no,Fz
0.5380952380952381,0.5333333333333333,0.7285714285714284,0.5659297052154195,0.5625,0.4791666666666666,0.75,0.65625,0.11722412976277305,0.09189365834726812,0.16605329308726374,0.0829188172699928,0.10825317547305482,0.1943203969393503,0.3535533905932738,0.2049199538844375,5.0,24.0,0.2,KNeighborsClassifier,None,-1,None,no,no,no,Fz
0.8619047619047618,0.7955555555555556,1.0,0.9054421768707483,0.5,0.4375,0.625,0.5625,0.07284313590846835,0.10525688740257816,0.0,0.062379299692661684,0.0,0.16535945694153692,0.33071891388307384,0.2724311839712921,5.0,24.0,0.2,GaussianNB,None,-1,None,no,no,no,Fz
1.0,1.0,1.0,1.0,0.4375,0.3958333333333333,0.625,0.3125,0.0,0.0,0.0,0.0,0.10825317547305482,0.16535945694153692,0.33071891388307384,0.2072890493972125,5.0,24.0,0.2,Stacking,None,-1,None,no,no,no,Fz
0.8285714285714285,0.9055555555555556,0.7809523809523811,0.9666666666666668,0.5625,0.35416666666666663,0.5,0.5625,0.05763675446147715,0.11600340565456164,0.21049558195524135,0.06666666666666668,0.10825317547305482,0.2818281095514309,0.4330127018922193,0.36975498644372606,5.0,24.0,0.2,LinearSVC,None,-1,None,no,yes,yes,all
1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,0.2,SVC,None,-1,None,no,yes,yes,all
1.0,1.0,1.0,1.0,0.75,0.75,0.625,0.875,0.0,0.0,0.0,0.0,0.21650635094610965,0.3535533905932738,0.33071891388307384,0.21650635094610965,5.0,24.0,0.2,RandomForestClassifier,None,-1,None,no,yes,yes,all
1.0,1.0,1.0,1.0,0.75,0.7916666666666666,0.75,0.75,0.0,0.0,0.0,0.0,0.30618621784789724,0.33071891388307384,0.3535533905932738,0.30618621784789724,5.0,24.0,0.2,AdaBoostClassifier,None,-1,None,no,yes,yes,all
1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.0,0.0,0.0,0.0,0.21650635094610965,0.21650635094610965,0.21650635094610965,0.21650635094610965,5.0,24.0,0.2,ExtraTreesClassifier,None,-1,None,no,yes,yes,all
1.0,1.0,1.0,1.0,0.8125,0.875,0.75,0.84375,0.0,0.0,0.0,0.0,0.2072890493972125,0.21650635094610965,0.25,0.2049199538844375,5.0,24.0,0.2,GradientBoostingClassifier,None,-1,None,no,yes,yes,all
1.0,1.0,1.0,1.0,0.75,0.6666666666666666,0.75,0.75,0.0,0.0,0.0,0.0,0.21650635094610965,0.3227486121839514,0.3535533905932738,0.21650635094610965,5.0,24.0,0.2,XGBClassifier,None,-1,None,no,yes,yes,all
0.7785714285714286,1.0,0.5571428571428572,0.8745464852607711,0.6875,0.625,0.375,0.6875,0.10033955955097844,0.0,0.20067911910195696,0.04998495770767717,0.16535945694153692,0.4841229182759271,0.33071891388307384,0.3125,5.0,24.0,0.2,KNeighborsClassifier,None,-1,None,no,yes,yes,all
1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.90625,0.0,0.0,0.0,0.0,0.21650635094610965,0.21650635094610965,0.21650635094610965,0.16237976320958225,5.0,24.0,0.2,GaussianNB,None,-1,None,no,yes,yes,all
1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.9375,0.0,0.0,0.0,0.0,0.21650635094610965,0.21650635094610965,0.21650635094610965,0.10825317547305482,5.0,24.0,0.2,Stacking,None,-1,None,no,yes,yes,all
0.6619047619047619,0.633999333999334,0.9333333333333332,0.8513605442176871,0.5625,0.5625,0.75,0.625,0.10926470386270257,0.12022900355643035,0.08164965809277258,0.02485657978420813,0.16535945694153692,0.16535945694153692,0.25,0.21650635094610965,5.0,24.0,0.2,LinearSVC,None,-1,None,no,yes,yes,Cz
1.0,1.0,1.0,1.0,0.4375,0.4583333333333333,0.875,0.375,0.0,0.0,0.0,0.0,0.10825317547305482,0.07216878364870323,0.21650635094610965,0.125,5.0,24.0,0.2,SVC,None,-1,None,no,yes,yes,Cz
1.0,1.0,1.0,1.0,0.3125,0.3125,0.5,0.1875,0.0,0.0,0.0,0.0,0.2997394702070449,0.26922599965250177,0.4330127018922193,0.2072890493972125,5.0,24.0,0.2,RandomForestClassifier,None,-1,None,no,yes,yes,Cz
1.0,1.0,1.0,1.0,0.5,0.375,0.5,0.34375,0.0,0.0,0.0,0.0,0.1767766952966369,0.2465033242958173,0.3535533905932738,0.3232525135246438,5.0,24.0,0.2,AdaBoostClassifier,None,-1,None,no,yes,yes,Cz
1.0,1.0,1.0,1.0,0.125,0.08333333333333333,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.14433756729740646,0.21650635094610965,0.21650635094610965,5.0,24.0,0.2,ExtraTreesClassifier,None,-1,None,no,yes,yes,Cz
1.0,1.0,1.0,1.0,0.375,0.25,0.375,0.3125,0.0,0.0,0.0,0.0,0.2795084971874737,0.2763853991962833,0.414578098794425,0.40983990776887497,5.0,24.0,0.2,GradientBoostingClassifier,None,-1,None,no,yes,yes,Cz
1.0,1.0,1.0,1.0,0.4375,0.25,0.375,0.3125,0.0,0.0,0.0,0.0,0.2072890493972125,0.2763853991962833,0.414578098794425,0.40983990776887497,5.0,24.0,0.2,XGBClassifier,None,-1,None,no,yes,yes,Cz
0.6619047619047619,0.7520634920634921,0.5904761904761905,0.6841836734693878,0.3125,0.125,0.125,0.3125,0.10926470386270257,0.16829708941292684,0.22807485742529615,0.08015608407785745,0.3247595264191645,0.33071891388307384,0.33071891388307384,0.3247595264191645,5.0,24.0,0.2,KNeighborsClassifier,None,-1,None,no,yes,yes,Cz
0.8309523809523809,0.91,0.7523809523809524,0.9643990929705216,0.5,0.3125,0.5,0.1875,0.07119007803679073,0.11135528725660043,0.11328930717495544,0.031872117606919,0.1767766952966369,0.26922599965250177,0.4330127018922193,0.3247595264191645,5.0,24.0,0.2,GaussianNB,None,-1,None,no,yes,yes,Cz
1.0,1.0,1.0,1.0,0.25,0.25,0.375,0.21875,0.0,0.0,0.0,4.965068306494546e-17,0.30618621784789724,0.2763853991962833,0.414578098794425,0.22316963839196408,5.0,24.0,0.2,Stacking,None,-1,None,no,yes,yes,Cz
0.7690476190476191,0.8833333333333334,0.7142857142857142,0.8910430839002267,0.4375,0.125,0.125,0.625,0.14708043058552855,0.1632993161855452,0.3155098813995704,0.08274034316623675,0.2724311839712921,0.33071891388307384,0.33071891388307384,0.33071891388307384,5.0,24.0,0.2,LinearSVC,None,-1,None,no,yes,yes,FCz
1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,0.2,SVC,None,-1,None,no,yes,yes,FCz
1.0,1.0,1.0,1.0,0.4375,0.3125,0.375,0.375,0.0,0.0,0.0,0.0,0.10825317547305482,0.2420614591379636,0.33071891388307384,0.33071891388307384,5.0,24.0,0.2,RandomForestClassifier,None,-1,None,no,yes,yes,FCz
1.0,1.0,1.0,1.0,0.5625,0.4166666666666666,0.5,0.6875,0.0,0.0,0.0,0.0,0.2420614591379636,0.3535533905932737,0.4330127018922193,0.2420614591379636,5.0,24.0,0.2,AdaBoostClassifier,None,-1,None,no,yes,yes,FCz
1.0,1.0,1.0,1.0,0.4375,0.3125,0.375,0.40625,0.0,0.0,0.0,0.0,0.2420614591379636,0.34798527267687634,0.414578098794425,0.3890593624371479,5.0,24.0,0.2,ExtraTreesClassifier,None,-1,None,no,yes,yes,FCz
1.0,1.0,1.0,1.0,0.5625,0.5,0.375,0.5625,0.0,0.0,0.0,0.0,0.2420614591379636,0.4330127018922193,0.33071891388307384,0.16535945694153692,5.0,24.0,0.2,GradientBoostingClassifier,None,-1,None,no,yes,yes,FCz
1.0,1.0,1.0,1.0,0.375,0.29166666666666663,0.375,0.3125,0.0,0.0,0.0,0.0,0.375,0.3886407938787006,0.4841229182759271,0.40983990776887497,5.0,24.0,0.2,XGBClassifier,None,-1,None,no,yes,yes,FCz
0.6571428571428571,0.6590476190476191,0.6285714285714286,0.6480725623582767,0.5625,0.625,0.625,0.5,0.07038926428140231,0.05125190113170939,0.14646244284980667,0.09978686646832054,0.2724311839712921,0.33071891388307384,0.33071891388307384,0.30618621784789724,5.0,24.0,0.2,KNeighborsClassifier,None,-1,None,no,yes,yes,FCz
0.8904761904761905,0.9666666666666668,0.8142857142857143,0.9328798185941044,0.625,0.5416666666666666,0.625,0.6875,0.06494372236659933,0.06666666666666665,0.11703053073756675,0.042551913108667454,0.2795084971874737,0.3608439182435161,0.414578098794425,0.3247595264191645,5.0,24.0,0.2,GaussianNB,None,-1,None,no,yes,yes,FCz
1.0,1.0,1.0,1.0,0.5,0.4375,0.625,0.34375,0.0,0.0,0.0,0.0,0.2795084971874737,0.3220755173695897,0.414578098794425,0.3465792658252943,5.0,24.0,0.2,Stacking,None,-1,None,no,yes,yes,FCz
0.6738095238095237,0.7116666666666667,0.7666666666666667,0.7546485260770975,0.5,0.375,0.625,0.4375,0.06004533434723092,0.14640127503998498,0.3195802235345241,0.032548569898858966,0.0,0.21650635094610965,0.414578098794425,0.2724311839712921,5.0,24.0,0.2,LinearSVC,None,-1,None,no,yes,yes,Fz
1.0,1.0,1.0,1.0,0.4375,0.4375,0.875,0.375,0.0,0.0,0.0,0.0,0.16535945694153692,0.16535945694153692,0.33071891388307384,0.1767766952966369,5.0,24.0,0.2,SVC,None,-1,None,no,yes,yes,Fz
1.0,1.0,1.0,1.0,0.25,0.2708333333333333,0.375,0.375,0.0,0.0,0.0,0.0,0.21650635094610965,0.21949278651776535,0.33071891388307384,0.375,5.0,24.0,0.2,RandomForestClassifier,None,-1,None,no,yes,yes,Fz
1.0,1.0,1.0,1.0,0.3125,0.2708333333333333,0.375,0.1875,0.0,0.0,0.0,0.0,0.16535945694153692,0.21949278651776535,0.33071891388307384,0.10825317547305482,5.0,24.0,0.2,AdaBoostClassifier,None,-1,None,no,yes,yes,Fz
1.0,1.0,1.0,1.0,0.5625,0.5833333333333333,0.625,0.5625,0.0,0.0,0.0,0.0,0.36975498644372606,0.3535533905932738,0.33071891388307384,0.44633927678392815,5.0,24.0,0.2,ExtraTreesClassifier,None,-1,None,no,yes,yes,Fz
1.0,1.0,1.0,1.0,0.25,0.14583333333333331,0.25,0.09375,0.0,0.0,0.0,0.0,0.125,0.1943203969393503,0.3535533905932738,0.10364452469860624,5.0,24.0,0.2,GradientBoostingClassifier,None,-1,None,no,yes,yes,Fz
1.0,1.0,1.0,1.0,0.25,0.22916666666666666,0.375,0.125,0.0,0.0,0.0,0.0,0.125,0.1851707170274081,0.33071891388307384,0.125,5.0,24.0,0.2,XGBClassifier,None,-1,None,no,yes,yes,Fz
